key;Author;Title;Year;Abstract;Keywords;Author_Keywords;Index_Keywords;DigitalTwin_found;EngineeringEducation_found;stage1_decision;stage1_assessment_level;stage1_next_action;stage1_automatic_exclusion;stage1_automatic_exclusion_reason;stage1_rescued_blocks;stage1_justification;stage1_matched_title;stage1_matched_abstract;stage1_matched_author_kw;stage1_matched_index_kw;stage1_missing_blocks;stage2_decision;stage2_score;stage2_consensus;stage2_rationale;stage2_reviewer1_decision;stage2_reviewer1_score;stage2_reviewer1_criterion;stage2_reviewer1_evidence;stage2_reviewer1_justification;stage2_reviewer2_decision;stage2_reviewer2_score;stage2_reviewer2_criterion;stage2_reviewer2_evidence;stage2_reviewer2_justification;stage2_reviewer3_decision;stage2_reviewer3_score;stage2_reviewer3_criterion;stage2_reviewer3_evidence;stage2_reviewer3_justification;stage2_reviewer4_decision;stage2_reviewer4_score;stage2_reviewer4_criterion;stage2_reviewer4_evidence;stage2_reviewer4_justification;stage1_pass;included_in_review;screening_final;estadoFinal
Weis2025;"Weis, Peter; Bašťovanský, Ronald; Vereš, Matúš";A Web-Based Digital Twin Framework for Interactive E-Learning in Engineering Education;2025;"Traditional engineering education struggles to bridge the theory–practice gap in the Industry 4.0 era, as static 2D schematics inadequately convey complex spatial relationships. While advanced visualization tools exist, their adoption is frequently hindered by requirements for specialized hardware and software, limiting accessibility. This study details the development and evaluation of a novel, web-based Digital Twin framework designed for accessible, intuitive e-learning that requires no client-side installation. The framework, centered on a high-fidelity 3D model of a historic radial engine, was assessed through a qualitative pilot case study with seven engineering professionals. Data was collected via a “think-aloud” protocol and a mixed-methods survey with a Likert scale and open-ended questions. Findings revealed an overwhelmingly positive reception; quantitative data showed high mean scores for usability, educational impact, and professional training potential (M > 4.2). Qualitative analysis confirmed the framework’s success in enhancing spatial understanding via features like dynamic cross-sections, improving the efficiency of accessing integrated documentation, and demonstrating high value as an onboarding tool. This work provides strong preliminary evidence that an accessible, web-based Digital Twin is a powerful and scalable solution for technical education that significantly enhances spatial comprehension and knowledge transfer. © 2025 by the authors.";"interactive learning; engineering education; digital twin; VIRTUAL-REALITY; CHALLENGES; DESIGN; Computer aided instruction; E-learning; Knowledge management; Knowledge transfer; Learning systems; Personnel training; Websites; Advanced visualizations; E - learning; Learning in engineering; Spatial re";"digital twin; engineering education; interactive learning; Computer aided instruction; E-learning; Knowledge management; Knowledge transfer; Learning systems; Personnel training; Websites; Advanced vi";"interactive learning; engineering education; digital twin; VIRTUAL-REALITY; CHALLENGES; DESIGN; Computer aided instruction; E-learning; Knowledge management; Knowledge transfer; Learning systems; Pers";1;1;INCLUDE;coincidencia_total;semantic_review;0;;;All conceptual blocks present;"digital twin*; engineering education";"digital twin*; engineering education; technical education";"digital twin*; engineering education";"digital twin*; engineering education";;uncertain_human_review;0.6167;moderator_uncertain;Moderator confirmed uncertain after 3-reviewer disagreement: The abstract describes a 'web-based Digital Twin framework' for engineering education with empirical evaluation, but it does not specify whether the Digital Twin includes bidirectional live synchroniz;uncertain;0.7;IC2;Digital Twin;The abstract describes a 'web-based Digital Twin framework' for e-learning in engineering education, but it does not specify whether the Digital Twin includes bidirectional, live synchronization with a physical asset, which is required by the protoco;uncertain;0.5;IC2;Digital Twin;The abstract claims a 'Digital Twin framework' but does not specify bidirectional physical-virtual coupling, leaving the core construct unconfirmed. Context (engineering education) and empirical evidence (pilot case study with data) are present, but ;uncertain;0.65;IC2;Digital Twin;The article explicitly uses the term 'Digital Twin' and presents a web-based framework for engineering education with empirical evaluation. However, the abstract does not clarify whether the digital twin involves bidirectional real-time coupling with;uncertain;0.65;IC2;Digital Twin;The abstract describes a 'web-based Digital Twin framework' for engineering education with empirical evaluation, but it does not specify whether the Digital Twin includes bidirectional live synchronization with a physical asset, leaving the construct;1;0;UNCERTAIN_HUMAN_REVIEW;EXCLUDE
Babaran2025;"Babaran, J.I.; Gonzales, I.B.; Ipac, J.B.; Suyat, L.P.R.D.; Tiope, P.J.; Togonon, A.C.E.; De Guzman, J.A.";A Web-Based Testbed with Spatial Visualization Capabilities for IoT-Based Smart Systems;2025;In the world of the Internet of Things, testbeds offer the necessary infrastructure in which ideas, technologies, and practices are tested and validated. A smart classroom called Smart-iLAB has been previously developed to showcase advances in electronics laboratory instruction, and is equipped with IoTbased sensing and actuation features. However, the Smart-iLAB did not offer the infrastructure required for users to conduct experiments and tests using the available sensors and actuators. In this work, we established a REST-based API testbed for the Smart-iLAB's IoT platform leveraging on MQTT connections, python scripts, a SQL-based database, and a RESTful API. In addition, a digital twin has been developed to provide immediate visual feedback of the Smart I-LAB environment. The RESTbased API testbed, with its accompanying digital twin, is hosted on a web-based platform that enables users to interact with the sensors and actuators of the Smart-iLAB externally. The RESTbased API testbed can also be used to facilitate the development of scripts, from simple manipulation to complex automation. In addition, the visualization of the layout of the available sensors and actuators serves as a convenient way for users to maximize the capabilities of the smart system remotely. To illustrate its effectiveness, the REST-based API testbed was tested to assess its latency, scalability, and reliability. © 2025 IEEE.;"API; Digital Twin; IoT; REST; Testbed; Actuators; Application programming interfaces (API); Engineering education; Internet of things; Visual communication; Visualization; Websites; Electronics laboratories; Laboratory instructions; Sensors and actuators; Smart classroom; Smart System; Spatial visua";"API; Digital Twin; IoT; REST; Testbed; Actuators; Application programming interfaces (API); Digital twin; Engineering education; Internet of things; Visual communication; Visualization; Websites; API;";"API; Digital Twin; IoT; REST; Testbed; Actuators; Application programming interfaces (API); Engineering education; Internet of things; Visual communication; Visualization; Websites; Electronics labora";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;uncertain_human_review;0.4;moderator_uncertain;"Moderator confirmed uncertain after 3-reviewer disagreement: Construct unclear (bidirectional coupling not confirmed), educational use not explicit, and no empirical educational evaluation; uncertainty handling prevents exclusion.";uncertain;0.5;construct;a digital twin has been developed to provide immediate visual feedback;The abstract mentions a digital twin for visual feedback of Smart-iLAB, but the bidirectional coupling is not confirmed and may be one-way. The study focuses on technical performance (latency, scalability, reliability) rather than educational applica;exclude;0.2;EC5;digital twin has been developed to provide immediate visual feedback of the Smart I-LAB environment.;The abstract describes a technical testbed for IoT smart systems with a digital twin for visual feedback, but it does not report any educational application, deployment, or evaluation in teaching/learning. The evaluation focuses on latency, scalabili;uncertain;0.5;IC2;a digital twin has been developed to provide immediate visual feedback of the Smart I-LAB environment;"The abstract mentions a digital twin but does not specify bidirectional coupling (construct unclear); the context (smart classroom) may imply higher education but is not explicitly stated; the study tests technical performance rather than educational";uncertain;0.5;IC2;a digital twin has been developed to provide immediate visual feedback of the Smart I-LAB environment;"Construct unclear (bidirectional coupling not confirmed), educational use not explicit, and no empirical educational evaluation; uncertainty handling prevents exclusion.";1;0;UNCERTAIN_HUMAN_REVIEW;EXCLUDE
Bento2026;"Bento, Antonio Carlos; Vazquez-Hurtado, Carlos";A Zero-Cost Digital Twin Framework for Sustainable Manufacturing Education Integrating SAP, Node-RED, and AI-Based Decision Support;2026;The high cost and complexity of Industry 4.0 laboratory infrastructure limit the adoption of Digital Twin concepts in engineering education. This paper proposes a low-cost Digital Twin framework for sustainable manufacturing education integrating SAP NetWeaver, Node-RED, and AI-based decision support. The framework adopts a layered architecture that connects PLC-based simulation, IoT middleware, enterprise resource planning systems, and intelligent decision-making components. Node-RED enables real-time data exchange, while SAP NetWeaver provides enterprise-level integration through OData services. An AI module supports decision-making for production and inventory management. The proposed framework is implemented as a functional prototype, demonstrating end-to-end integration without requiring physical manufacturing equipment. Competency-based mapping aligns the framework with Industry 4.0 engineering skills, supporting its use in academic environments. A sustainability assessment highlights reductions in infrastructure cost, energy consumption, and resource usage compared to traditional laboratory approaches. The results indicate that the framework provides a scalable and accessible solution for teaching Digital Twin concepts, contributing to sustainable engineering education in resource-constrained contexts.;;;;1;1;INCLUDE;coincidencia_total;semantic_review;0;;;All conceptual blocks present;digital twin*;"digital twin*; engineering education";;;;excluded;0.9667;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.97);exclude;1;EC4;without requiring physical manufacturing equipment;The abstract explicitly states the framework is implemented without physical manufacturing equipment, indicating no synchronized physical-virtual coupling, which qualifies as a near-miss per SCOPE_OF_REVIEW. Additionally, the study lacks empirical da;exclude;0.9;EC4;without requiring physical manufacturing equipment;The abstract describes a technical framework development with prototype demonstration and sustainability assessment, but no empirical educational evaluation. Furthermore, it explicitly states the framework operates without physical manufacturing equi;exclude;1;EC4;without requiring physical manufacturing equipment;The abstract explicitly states the framework does not require physical manufacturing equipment, indicating no synchronized physical-virtual coupling. This is a near-miss per SCOPE_OF_REVIEW, as a Digital Twin must have a specific physical asset with ;;;;;;1;0;EXCLUDE;EXCLUDE
Deryabin2020;"Deryabin, S.A.; Temkin, I.O.; Zykov, S.V.";About some issues of developing Digital Twins for the intelligent process control in quarries;2020;The present work is devoted to the problems of Digital Twin development of industrial enterprises in the field of mining. The main goal of this article is to formulate the principles of designing platform solutions for the integration of the most important functional elements that ensure the implementation of technological processes of a full production cycle. Various classification schemes for heterogeneous, poorly structured information spaces that form the distributed digital environment of a mining enterprise are proposed. Based on the results of structural and functional modeling, a number of principles and requirements are formulated for the implementation of the Digital Twin technology of the transport and technological process in quarry. A conceptual diagram of the functional structure of the Digital Twin platform is proposed, taking into account the need to include Industry 4.0 technologies such as Industrial Internet of Things, Big Data (including Predictive Analytics and Machine Learning), Autonomous Haulage Systems and Dynamics 3D Optimization Modeling. Some aspects of the implementation and functioning of the prototype version of the Digital Twin platform are considered in terms of the use of instrumental solutions based on the Unity visual modeling environment. © 2020 The Authors. Published by Elsevier B.V.;"Digital Twin; Functional modeling; Industry 4.0; Software architecting; Software prototyping; 3D modeling; Classification (of information); Engineering education; Industrial internet of things (IIoT); Knowledge based systems; Predictive analytics; Quarries; Classification scheme; Functional elements";"Digital Twin; Functional modeling; Industry 4.0; Software architecting; Software prototyping; 3D modeling; Classification (of information); Engineering education; Industrial internet of things (IIoT);";"Digital Twin; Functional modeling; Industry 4.0; Software architecting; Software prototyping; 3D modeling; Classification (of information); Engineering education; Industrial internet of things (IIoT);";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;digital twin*;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;excluded;0.3333;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.33);exclude;0;EC2;Digital Twin development of industrial enterprises in the field of mining;The abstract explicitly confines the Digital Twin to industrial/operational use in quarries/mining with no educational component. No mention of higher education or STEM education context. The keyword 'Engineering education' appears but is not substan;exclude;1;EC2;industrial enterprises in the field of mining;"Abstract explicitly confines Digital Twin to industrial quarry operations with no educational component; higher-education STEM setting is absent.";exclude;0;EC2;The present work is devoted to the problems of Digital Twin development of industrial enterprises in the field of mining.;The abstract focuses on industrial enterprise digital twin development for quarries, with no mention of any educational purpose, higher education setting, or empirical study involving students. The presence of 'engineering education' in keywords does;;;;;;1;0;EXCLUDE;EXCLUDE
Yang2025e;"Yang, H.; Chen, C.; Wu, J.-L.";Active learning of model discrepancy with Bayesian experimental design;2025;Digital twins have been actively explored in many engineering applications, such as manufacturing and autonomous systems. However, model discrepancy is ubiquitous in most digital twin models and has significant impacts on the performance of using those models. In recent years, data-driven modeling techniques have been demonstrated promising in characterizing the model discrepancy in existing models, while the training data for the learning of model discrepancy is often obtained in an empirical way and an active approach of gathering informative data can potentially benefit the learning of model discrepancy. On the other hand, Bayesian experimental design (BED) provides a systematic approach to gathering the most informative data, but its performance is often negatively impacted by the model discrepancy. In this work, we build on sequential BED and propose an efficient approach to iteratively learn the model discrepancy based on the data from the BED. The performance of the proposed method is validated by a classical numerical example governed by a convection–diffusion equation, for which full BED is still feasible. The proposed method is then further studied in the same numerical example with a high-dimensional model discrepancy, which serves as a demonstration for the scenarios where full BED is not practical anymore. In this example with time-varying velocity, the network only learns the stationary discrepancy and leaves the time dependence being handled by the physics-based model itself, which helps mitigate ill-posedness of the joint learning problem. An ensemble-based approximation of information gain is further utilized to assess the data informativeness and to enhance learning model discrepancy. The results show that the proposed method is efficient and robust to the active learning of high-dimensional model discrepancy, using data suggested by the sequential BED. We also demonstrate that the proposed method is compatible with both classical numerical solvers and modern auto-differentiable solvers. © 2025 Elsevier B.V.;"Active learning; Bayesian experimental design; Ensemble Kalman method; Model discrepancy; Neural ODE; Bayesian networks; Design of experiments; Digital twin; Engineering education; Iterative methods; Learning systems; Ordinary differential equations; Statistics; Bayesian experimental designs; Data-d";"Active learning; Bayesian experimental design; Ensemble Kalman method; Model discrepancy; Neural ODE; Bayesian networks; Design of experiments; Digital twin; Engineering education; Iterative methods; ";"Active learning; Bayesian experimental design; Ensemble Kalman method; Model discrepancy; Neural ODE; Bayesian networks; Design of experiments; Digital twin; Engineering education; Iterative methods; ";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;excluded;0.9333;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.93);exclude;1;EC5;Digital twins have been actively explored in many engineering applications;The abstract presents a purely technical method for learning model discrepancy in digital twins with no educational application, evaluation, or mention of higher-education or STEM education context.;exclude;0.9;EC5;Digital twins have been actively explored in many engineering applications, such as manufacturing and autonomous systems.;The abstract describes a technical method for learning model discrepancy in digital twins, focusing on Bayesian experimental design. There is no mention of any educational use, deployment in higher education, or evaluation of learning outcomes. The p;exclude;0.9;EC5;;The abstract focuses on active learning of model discrepancy and Bayesian experimental design, validated on a numerical example. No educational purpose, higher education setting, or empirical study in education is mentioned. The digital twin mention ;;;;;;1;0;EXCLUDE;EXCLUDE
Salimi2022;"Salimi, Fabienne-Fariba; Salimi, Frederic; Taghipoor, Hosein; Mokhtarname, Reyhane; Safavi, Ali Akbar; Urbas, Leonhard";Active Learning on the Collaborative Digital Twin of the Process Plants;2022;Digital twin is a valuable tool for the active training of engineers at both academic and professional levels. This is even more important if learners can experience any safe or unsafe scenarios on the safe environment of an accurate simulator combined with the systematic collaborative applications. This paper introduces a learning platform that is designed in compliance with ISO 10015 to be used following the individual initiatives or organizational competency management programs. The curriculum addresses the needs and expectations of Industry 4.0 engineers who should master not only the specialized subjects relevant to their discipline but also have a good grasp on system thinking, system engineering and complexity management skills. This active learning platform is called ADEPP Skill 4.0 and provides collaborative learning workspaces on a web-based operator training simulator (OTS) which interoperate with the SharePoint application.;"Training; Systematics; Digital twin; ISO Standards; Conferences; Collaboration; Fourth Industrial Revolution; Digital Twin; Skill 4.0; ISO 1005; Active Learning; OTS; SharePoint; PSM; ADEPP";"Training; Systematics; Digital twin; ISO Standards; Conferences; Collaboration; Fourth Industrial Revolution; Digital Twin; Skill 4.0; ISO 1005; Active Learning; OTS; SharePoint; PSM; ADEPP";"Training; Systematics; Digital twin; ISO Standards; Conferences; Collaboration; Fourth Industrial Revolution; Digital Twin; Skill 4.0; ISO 1005; Active Learning; OTS; SharePoint; PSM; ADEPP";1;0;exclude;vacio_conceptual;discard;1;vacio_conceptual;;Excluido: falta bloque conceptual 'EngineeringEducation' en titulo, resumen y keywords.;digital twin*;digital twin*;digital twin*;digital twin*;EngineeringEducation;;;;;;;;;;;;;;;;;;;;;;;;;0;0;EXCLUDE;EXCLUDE
Barry2025a;"Barry, D.M.; Kanematsu, H.; Nakahira, K.";Activities in Second Life, with VR Headsets, and in Spatial.io;2025;The authors had unique opportunities to successfully carry out important and creative activities in Second Life (a 3-D virtual community), with VR headsets, and in Spatial.io. They instructed their students to participate in problem-based learning projects (PBL) in Second Life (SL) on a virtual island owned by Nagaoka University of Technology in Japan. The PBL method provides students with challenging ill-structured problems to solve. They work cooperatively in a group to obtain possible solutions to the problems, while their instructors serve as guides. In addition, the group wore VR headsets to have realistic experiences with ocean life and dinosaurs. The authors also joined Spatial.io, a website that includes a variety of human-computer interaction techniques. They explored interesting locations, played games, examined various items, and struggled with a digital twin project. © 2025 Elsevier B.V.. All rights reserved.;"augmented reality; avatars; digital twin; problem-based learning; Second Life; Spatial.io; virtual reality; virtual reality headsets; E-learning; Engineering education; Human computer interaction; Interactive computer graphics; Problem solving; Students; Three dimensional computer graphics; Virtual ";"augmented reality; avatars; digital twin; problem-based learning; Second Life; Spatial.io; virtual reality; virtual reality headsets; Digital twin; E-learning; Engineering education; Human computer in";"augmented reality; avatars; digital twin; problem-based learning; Second Life; Spatial.io; virtual reality; virtual reality headsets; E-learning; Engineering education; Human computer interaction; Int";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;uncertain_human_review;0.4333;moderator_uncertain;Moderator confirmed uncertain after 3-reviewer disagreement: The abstract mentions a 'digital twin project' but lacks details on bidirectional coupling or synchronization. The educational context is higher-education, yet construct centrality and empirical evide;uncertain;0.5;IC2;digital twin project;The abstract mentions a 'digital twin project' but provides no details on bidirectional coupling or implementation. The educational context is suggested by keywords and institutional affiliation, but the digital twin construct is insufficiently descr;uncertain;0.5;unclear;struggled with a digital twin project;The abstract mentions a 'digital twin project' but does not describe its bidirectional coupling or synchronization. The study focuses on Second Life, VR headsets, and Spatial.io activities overall, with no empirical data specifically on the digital t;uncertain;0.3;IC2;struggled with a digital twin project;"Digital twin is mentioned only peripherally as one of many activities; no description of implementation, bidirectional coupling, or empirical evaluation specific to digital twin. Context fits higher education but construct centrality and empirical ev";uncertain;0.4;IC2;digital twin project;The abstract mentions a 'digital twin project' but lacks details on bidirectional coupling or synchronization. The educational context is higher-education, yet construct centrality and empirical evidence cannot be positively confirmed. All three inde;1;0;UNCERTAIN_HUMAN_REVIEW;EXCLUDE
CaeiroRodriguez2020;"Caeiro-Rodríguez, Manuel; Nistal, Martín Llamas; Cristobal, Elio San; Pérez, Francisco Mur; Sánchez, José Ángel; Castro, Manuel; Plaza, Pedro; Muñoz-Merino, Pedro; Bonastre, Óscar Martínez; Solsona, Francisco Javier Arcega; Zubía, Javier García";Activities of the Spanish Chapter of the IEEE Education Society;2020;This paper introduces the Spanish Chapter of the IEEE Education Society, the CESEI, and its main activities. Along the years since its appearance, the CESEI has developed several initiatives devoted to promote the development of engineering education using new information and communication technologies. Publications and participation in relevant conferences have attracted the main efforts, but also the awards provided to the best student academic works is a remarkable action. It deserves special attention the activities performed in cooperation with the student branches, because they have been very fruitful. The paper describes all these initiatives and discusses about future actions.;"Conferences; Information and communication technology; Engineering education; IEEE Chapter; Education Society; Publications; Conferences; Activities";"Conferences; Information and communication technology; Engineering education; IEEE Chapter; Education Society; Publications; Conferences; Activities";"Conferences; Information and communication technology; Engineering education; IEEE Chapter; Education Society; Publications; Conferences; Activities";0;1;exclude;vacio_conceptual;discard;1;vacio_conceptual;;Excluido: falta bloque conceptual 'DigitalTwin' en titulo, resumen y keywords.;;engineering education;engineering education;engineering education;DigitalTwin;;;;;;;;;;;;;;;;;;;;;;;;;0;0;EXCLUDE;EXCLUDE
Costa2024;"Costa, E.A.; Rebello, C.M.; Schnitman, L.; Loureiro, J.M.; Ribeiro, A.M.; Nogueira, I.B.R.";Adaptive digital twin for pressure swing adsorption systems: Integrating a novel feedback tracking system, online learning and uncertainty assessment for enhanced performance;2024;This paper presents a novel approach to digitizing and modeling pressure swing adsorption (PSA) processes using an uncertainty-aware digital twin. PSA modeling presents unique challenges due to its complex and cyclic behavior, which lacks a steady state. By contributing to the literature on periodic systems, we provide valuable insights into the potential applications of artificial intelligence and digital twins beyond the field of cyclic processes. Our proposed methodology can enhance the understanding and optimization of complex systems across various industries and applications. The proposed digital twin is uncertainty-aware and reliable, continuously updating itself through online learning and utilizing a novel feedback tracker to accurately represent the PSA system. This robust and adaptable methodology supports optimal PSA system operation and facilitates informed decision-making for enhanced process operation. The results demonstrate that the proposed approach yields a reliable digital twin for the PSA unit, capable of tracking the process's complex dynamics and adapting to changes, including adsorbent degradation, which is a significant challenge in PSA operations. Overall, this work highlights the potential of advanced technologies, such as digital twins and artificial intelligence, to improve performance and efficiency in the field of process engineering. This work contributes to the ongoing efforts to optimize industrial processes and support sustainable development by providing a reliable and adaptable methodology for digitizing PSA processes. © 2023 The Author(s);"Digital twin; Online learning; Pressure swing adsorption; Uncertainty assessment; Adsorption; Artificial intelligence; Decision making; E-learning; Engineering education; Learning systems; Tracking (position); Adsorption process; Learning assessment; Performance; Pressure swing adsorption systems; S";"Digital twin; Online learning; Pressure swing adsorption; Uncertainty assessment; Adsorption; Artificial intelligence; Decision making; E-learning; Engineering education; Learning systems; Tracking (p";"Digital twin; Online learning; Pressure swing adsorption; Uncertainty assessment; Adsorption; Artificial intelligence; Decision making; E-learning; Engineering education; Learning systems; Tracking (p";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;digital twin*;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;excluded;0.6667;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.67);exclude;0;EC2;optimization of complex systems across various industries and applications;The abstract describes an adaptive digital twin for pressure swing adsorption systems focused on industrial process optimization, with no mention of educational use, higher-education setting, or empirical evidence related to learning outcomes. The ke;exclude;1;EC2;This paper presents a novel approach to digitizing and modeling pressure swing adsorption (PSA) processes using an uncertainty-aware digital twin.;The abstract focuses solely on industrial process optimization with no mention of educational application, thus failing IC2 (educational purpose).;exclude;1;EC2;optimal PSA system operation and facilitates informed decision-making for enhanced process operation;The abstract describes a digital twin for industrial process optimization, with no mention of educational purpose or higher-education setting. Despite keywords including 'engineering education' and 'e-learning', the abstract itself confines the digit;;;;;;1;0;EXCLUDE;EXCLUDE
Feng2023;"Feng, Liuyang; Qian, Xudong; Zhang, Wei";Adaptive Fatigue Assessment of Welded Plate Joints Based on Crack Measurements;2023;Accurate fatigue assessment of welded plate joints remains critical for bridges, ships, offshore platforms, and steel structures subjected to cyclic environmental actions. Adaptive fatigue assessment of the structures incorporating with the crack measurement is essential for the digitalization process in civil engineering. This study conducts high-cycle fatigue tests of welded plate joints and proposes a new and enhanced constitutive damage model to simulate the fatigue damage. The constitutive damage model successfully predicts the fatigue life of welded plate joints under different levels of cyclic loadings. The remaining fatigue life of welded plate joints is updated through adsorbing periodic crack measurement information and achieves good agreement with the experimental results. The framework of this study lays the foundation in the digital twin of the local welded plate joints in offshore structures.;;;;1;0;exclude;vacio_conceptual;discard;1;vacio_conceptual;;Excluido: falta bloque conceptual 'EngineeringEducation' en titulo, resumen y keywords.;;digital twin*;;;EngineeringEducation;;;;;;;;;;;;;;;;;;;;;;;;;0;0;EXCLUDE;EXCLUDE
CruzSalazar2025;"Cruz Salazar, L.A.; Tovar, H.S.; Prada Salamanca, E.A.; Márquez Juárez, J.C.; Cruz, E.M.";Adaptive Learning and Interoperability in I4.0: A Case Study of Agent-based Digital Twin with Asset Administration Shell;2025;The integration of predictive industrial agents into Industry 4.0 (I4.0) systems offers new possibilities for adaptive learning and intelligent control in industrial and educational contexts. This paper presents a framework leveraging predictive agents, developed using the Python Agent Development Environment (PADE), embedded within programmable logic controllers (PLCs) to enhance the predictability and interoperability of digital twin (DTs) environments. By incorporating Asset Administration Shells (AAS) and adhering to IEC 61131-3 and IEC 61499 standards into the various PLCs, the system enables seamless communication and integration between flexible manufacturing cells in a remotely operated I4.0 laboratory. The predictive agents utilize supervised learning algorithms to forecast operational outcomes and optimize system performance, adapting dynamically to process requirements. Experimental results demonstrate the frameworḱs ability to enhance interoperability, and usability. Additionally, the proposed system addresses the educational gap by equipping engineering students with practical experience in predictive control and industrial standards. This research advances the field of intelligent adaptive control systems and highlights the potential of integrating predictive agents with digital twins by agent-based AAS to meet the evolving demands of I4.0. © 2025 The Authors.;"Adaptive Learning System; Asset Administration Shell; Digital Twin; IEC 61499; Industry 4.0; Predictive Industrial Agent; Adaptive control systems; Autonomous agents; E-learning; Engineering education; Flexible manufacturing systems; Industrial research; Intelligent agents; Intelligent control; Lear";"Adaptive Learning System; Asset Administration Shell; Digital Twin; IEC 61499; Industry 4.0; Predictive Industrial Agent; Adaptive control systems; Autonomous agents; Digital twin; E-learning; Enginee";"Adaptive Learning System; Asset Administration Shell; Digital Twin; IEC 61499; Industry 4.0; Predictive Industrial Agent; Adaptive control systems; Autonomous agents; E-learning; Engineering education";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;digital twin*;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;uncertain_human_review;0.5667;moderator_uncertain;"Moderator confirmed uncertain after 3-reviewer disagreement: All three reviewers concur that the abstract does not explicitly confirm the bidirectional coupling required by the strict definition; construct axis remains uncertain.";uncertain;0.6;IC2;digital twin (DTs) environments;The abstract explicitly mentions Digital Twin and an educational context (engineering students, I4.0 laboratory). However, it does not explicitly confirm the bidirectional coupling required by the strict definition, nor does it provide a positive dis;uncertain;0.6;IC2;digital twin (DTs);The abstract mentions digital twin in an educational engineering context and reports experimental results, but does not explicitly state bidirectional physical-virtual coupling, which is required for positive construct confirmation. Therefore, constr;uncertain;0.5;IC2;digital twin (DTs) environments;The abstract mentions 'digital twin (DTs) environments' and describes a framework with PLCs and predictive agents in an I4.0 laboratory for engineering education, and presents experimental results. However, it does not explicitly state the bidirectio;uncertain;0.6;IC2;digital twin (DTs) environments;"All three reviewers concur that the abstract does not explicitly confirm the bidirectional coupling required by the strict definition; construct axis remains uncertain.";1;0;UNCERTAIN_HUMAN_REVIEW;includeF
Tvenge2020;"Tvenge, N.; Ogorodnyk, O.; Østbø, N.P.; Martinsen, K.";Added value of a virtual approach to simulation-based learning in a manufacturing learning factory;2020;"More and more learning factories (LF) are set up supporting the vision of Industry 4.0 connectivity and automation levels; thus, digital twins, virtual and augmented reality are emerging tools. Literature review is the basis for the discourse on possible constraints and opportunities these tools have for the cognitive learning processes in a simulation. State of the art give insight in the lack of research on value of digital learning activities in learning factory setting. This paper is a concept description, giving input to the community on aspects to be considered regarding the use VR/AR/digital twins in a learning factory context. © 2020 The Authors.";"AR; Cognitive processes; Learning; Manufacturing learning factory; Simulation-based learning; VR; Augmented reality; Digital twin; E-learning; Intelligent computing; Manufacture; Automation levels; Cognitive learning; Concept description; Learning factory; Literature reviews; State of the art; Virtu";"AR; Cognitive processes; Learning; Manufacturing learning factory; Simulation-based learning; VR; Augmented reality; Digital twin; E-learning; Intelligent computing; Manufacture; Automation levels; Co";"AR; Cognitive processes; Learning; Manufacturing learning factory; Simulation-based learning; VR; Augmented reality; Digital twin; E-learning; Intelligent computing; Manufacture; Automation levels; Co";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;excluded;0.65;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.65);exclude;0.95;IC3;This paper is a concept description;Abstract explicitly states it is a concept description based on literature review, not an empirical study. No data, evaluation, or learning outcomes reported. Fails IC3 (empirical evidence).;exclude;1;EC1;This paper is a concept description;The abstract explicitly states it is a concept description, not an empirical study. This qualifies as an ineligible document type per DOCUMENT_RULE.;exclude;0;IC3;concept description;The abstract explicitly states it is a 'concept description' based on literature review, not an empirical study. No data, evaluation, or learning outcomes are reported. Additionally, Digital Twin is listed among VR/AR as emerging tools without any de;;;;;;1;0;EXCLUDE;EXCLUDE
